Word,Usage
i've,54
just,273
received,2
the,1136
email,4
about,164
whether,3
gotten,5
job,12
as,72
commissioner,21
well,111
from,81
look,87
on,250
my,327
face,12
i'm,354
sure,51
you,1208
can,133
guess,24
what,333
it,476
says,10
no,229
we,310
have,236
idea,15
at,136
all,215
tell,54
us,78
monster,4
really,74
one,131
noticed,5
slight,1
tension,1
in,355
labial,1
commissure,1
,1158
lips,3
smiling,4
wait,44
you're,168
we're,84
allowed,2
to,868
say,65
labia,3
again,25
got,109
i,1234
ohh,2
raymond,11
holt,45
gotta,14
stop,36
right,171
now,105
hitchcock,29
need,59
celebrate,2
ooh,22
music,5
oohohh,1
brought,11
a,849
jock,2
jams,1
cd,2
for,258
wedding,3
oh,251
didn't,72
talk,41
that,435
was,294
gonna,120
be,157
surprise,1
our,64
first,37
dance,9
tootsee,1
roll,4
and,574
get,137
do,170
know,172
nobody,8
move,15
go,118
want,104
thank,48
an,80
incredible,4
moment,17
but,249
worth,3
because,89
finally,11
read,8
ten,7
words,4
longed,1
hear:,1
are,216
not,257
oops,2
misread,2
see,59
so,311
will,47
new,33
♪,38
y'all,3
ready,6
this,360
jam,1
whoo,4
why,97
is,466
else,12
dancing,4
did,132
miss,16
something,48
feels,9
like,144
missed,3
i'll,46
keep,29
going,69
until,8
someone,25
tells,4
me,289
jake,85
captain,56
taking,13
another,22
personal,6
day,24
his,103
absence,1
running,10
things,23
around,21
here,149
that's,137
true,21
charge,1
mm,8
it's,266
more,61
of,428
westeros,1
freeforall,1
okay,153
who,87
bend,2
knee,1
nobody's,1
bending,1
anything,36
let's,43
started,12
sarge,24
he,196
never,72
work,39
he'll,7
soon,9
two,48
paid,5
stacks,3
whoa,16
where's,3
cash,12
brilliant,2
wife,8
found,19
crazy,25
loophole,1
called,20
insurance,2
very,40
common,2
renter's,1
god,44
too,61
yes,78
wizard,1
point,15
getting,22
refunded,1
full,13
superdeluxe,1
fivestar,1
megaballer,1
honeymoon,8
berkshires,1
anymore,11
screw,3
crap,8
hole,6
dump,3
anyone,13
goes,5
there,119
garbage,4
take,53
sharon,1
romantic,2
weekend,1
congratulations,2
ya,13
poor,6
am,41
sorry,78
money,19
changes,2
resort,2
posadita,1
bonita,1
mexico,3
great,53
food,7
beaches,2
when,49
saw,15
ay,3
caramba,3
fit,2
don't,206
think,97
isn't,17
place,24
gina,66
always,35
talking,21
she,92
gets,9
referral,1
rewards,1
points,3
checkout,1
super,12
intimate,2
fancy,1
there's,54
only,45
rule,4
abc,1
coconuting,2
times,9
either,7
drinking,3
eating,5
or,55
wearing,10
coconut,4
_,20
amazing,10
had,78
sex,10
outside,4
united,2
states,2
thinking,18
weirdly,3
same,20
thing,48
welcome,4
paradise,1
margarita,1
would,66
love,41
any,39
way,51
could,58
put,32
pleasure,4
sir,42
requested,1
ridiculous,6
he's,71
doing,33
quick,4
stupid,8
stuff,12
ask,14
grapes,5
panicked,1
couldn't,17
perfect,13
excuse,8
some,46
away,30
your,254
drinks,3
lovers',1
toolbox,1
mr,19
boyle,17
ah,18
much,47
open,14
cheese,5
even,56
lounge,1
peralta,14
hell,26
phone,15
dis,1
can't,75
person,26
charles,27
coworker,5
hey,77
out,149
mom,32
left,15
dad,13
they're,36
divorced,1
eh,5
they,91
good,84
run,4
fun,25
fact:,1
average,1
american,1
marriage,1
lasts,1
fewer,1
than,26
days,9
doesn't,25
commentary,2
daddy,18
lynn,1
inconsolable,1
over,38
boyles,4
becomes,1
part,14
lives,4
within,2
eats,1
them,63
back,76
together,10
pass,6
with,174
without,12
help,27
bluff,1
has,44
answer,7
problem,13
since,17
came,21
top,13
dog,11
terry,34
smart,6
been,49
solving,2
problems,2
long,21
meth,2
case,46
working,19
last,26
months,6
department,2
sanitation,4
police,13
poach,1
drugs,4
were,82
dumpster,2
saying,26
garbagerelated,1
easy,6
off,42
solved,5
yeah,145
threatened,1
make,63
formal,1
complaint,1
mayor,8
then,74
let,32
those,38
dummies,1
blow,4
partner,6
up,129
woofwoof,2
nope,8
headquarters,1
won't,14
allow,2
due,4
budgetary,1
reasons,4
writing,4
instruction,1
manual,5
replacement,1
named,9
maybe,23
necessary,3
decision,9
does,21
rejection,1
sadness,2
enveloped,1
kept,3
expecting,1
dark,3
feeling,10
worse,8
stinks,1
grade,1
passed,3
line,8
leader,2
still,51
pissed,2
kyle,2
d's,2
lines,2
curves,1
gaps,1
cutting,2
galore,1
frickin',1
carnival,1
what's,42
john,10
kelly,24
already,17
released,2
memo,1
detailing,1
vigilant,5
policing,5
initiative,4
essentially,1
return,5
frisk,1
choosing,4
him,124
betrayal,1
everything,34
stand,7
feel,33
d,2
tried,8
suck,4
uniform,3
car,19
next,13
knew,12
plane,2
pack,1
bag,16
bought,4
bundle,1
novelty,1
shirts,3
nearby,2
gift,4
shop,1
instead,1
bitches,1
humor,2
hate,9
joke,1
suits,1
mmkay,2
how,106
end,14
exact,6
tiny,5
gina's,7
years,12
you'd,6
fine,25
lot,24
people,52
their,18
boss,8
thought,39
if,113
said,54
loud,2
normalize,1
weird,9
staying,2
head,8
